generation,t_env,v_vie,n_inversions_vie,lambda_cout,graine,eta_moyen,eta_ecart_type,p_naif_moyen,p_libre_moyen,delta_p_moyen,fitness_max,survie_naif,survie_libre,discrimination_naif,discrimination_libre,discrim_tiers1_libre,discrim_tiers3_libre,discrim_tiers1_naif,discrim_tiers3_naif,repas_moyen_libre,repas_moyen_naif,nutritifs_moyen_libre,toxiques_moyen_libre,cout_apprentissage_moyen,derive_acquise_moyenne,derive_preference_moyenne,n_especes,complexite_moyenne
0,maximale,nulle,0,0.0,22,0.5180131204251636,0.29091657686918027,30.885666666666665,36.08833333333333,5.202666666666669,885.0,0.01,0.01,0.49206349206349204,0.5625,0.75,0.85,0.6666666666666666,0.6666666666666666,2.88,3.15,1.62,1.26,0.9845546364295379,0.005370827137613446,0.10658485439760117,1,48.0
1,maximale,nulle,0,0.0,22,0.3600090560086591,0.19885126108633872,78.99666666666666,66.99958333333333,-11.997083333333334,953.9333333333333,0.08,0.0,0.5935085007727975,0.6338912133891214,1.0,1.0,0.7528089887640449,0.743801652892562,4.78,6.47,3.03,1.75,2.2409794264902105,0.010285615745618355,0.13620425480232812,1,47.95
2,maximale,nulle,0,0.0,22,0.3947233419718732,0.139604184160169,76.8985,116.89408333333334,39.99558333333332,1355.2416666666666,0.01,0.07,0.4880083420229406,0.5949238578680203,0.6944444444444444,0.6538461538461539,0.44,0.42857142857142855,9.85,9.59,5.86,3.99,5.047721606401384,0.02115866001255466,0.1943215063198355,1,47.65
3,maximale,nulle,0,0.0,22,0.4455589490540842,0.14004376970391172,121.1415,123.52541666666667,2.383916666666668,995.0,0.09,0.05,0.5118110236220472,0.5625,0.5934065934065934,0.7475728155339806,0.5097087378640777,0.48559670781893005,11.68,13.97,6.57,5.11,7.177352503142171,0.027389898975131156,0.3337522614255719,1,47.01
4,maximale,nulle,0,0.0,22,0.49069360662131667,0.10256184221572531,191.33350000000002,197.75366666666667,6.420166666666668,1820.0,0.14,0.14,0.5922619047619048,0.6351084812623274,0.6254980079681275,0.7264150943396226,0.7241379310344828,0.7261538461538461,15.21,16.8,9.66,5.55,9.991138702754059,0.04364158824636803,0.28189616239269066,1,46.92
5,maximale,nulle,0,0.0,22,0.490292104319562,0.07090270571450172,144.85666666666668,146.78091666666668,1.9242499999999938,1290.0,0.06,0.07,0.48372093023255813,0.540876389797253,0.6148648648648649,0.6338028169014085,0.5379746835443038,0.5590062111801242,15.29,19.35,8.27,7.02,10.190211347608399,0.03640033011645903,0.37436637575854576,1,46.78
6,maximale,nulle,0,0.0,22,0.47150269620384727,0.06499545480928781,215.56924999999998,247.77683333333331,32.207583333333325,1575.0,0.1,0.16,0.5442869796279893,0.650296815974096,0.6622950819672131,0.6863905325443787,0.5860655737704918,0.5709677419354838,18.53,22.58,12.05,6.48,13.607303821824853,0.06742075973698536,0.26839102096374146,1,46.91
7,maximale,nulle,0,0.0,22,0.5005188864574621,0.08843851211542872,162.49183333333337,229.03933333333333,66.54750000000001,1336.8666666666666,0.07,0.14,0.4901315789473684,0.5940446650124069,0.6218181818181818,0.61,0.6592592592592592,0.5469613259668509,20.15,21.28,11.97,8.18,13.205308045625745,0.05776244404164011,0.3596023560082624,1,46.86
8,maximale,nulle,0,0.0,22,0.5089076856528095,0.07760135134628492,228.15716666666668,290.84608333333335,62.688916666666685,2055.0,0.12,0.16,0.5374645605508303,0.6334643949322848,0.6300940438871473,0.746031746031746,0.5876623376623377,0.6157894736842106,22.89,24.69,14.5,8.39,14.439970664894117,0.0584325146536779,0.3134882450045648,1,46.74
9,maximale,nulle,0,0.0,22,0.5248263490494725,0.08936041398146262,192.45733333333334,217.08666666666664,24.62933333333334,1634.45,0.11,0.15,0.5055038103302286,0.6080043859649122,0.6150442477876106,0.6837944664031621,0.6035714285714285,0.5382585751978892,18.24,23.62,11.09,7.15,10.997873958947721,0.05239428910872123,0.3441240681607292,1,46.38
