generation,t_env,v_vie,n_inversions_vie,lambda_cout,graine,eta_moyen,eta_ecart_type,p_naif_moyen,p_libre_moyen,delta_p_moyen,fitness_max,survie_naif,survie_libre,discrimination_naif,discrimination_libre,discrim_tiers1_libre,discrim_tiers3_libre,discrim_tiers1_naif,discrim_tiers3_naif,repas_moyen_libre,repas_moyen_naif,nutritifs_moyen_libre,toxiques_moyen_libre,cout_apprentissage_moyen,derive_acquise_moyenne,derive_preference_moyenne,n_especes,complexite_moyenne
0,maximale,nulle,0,18.9,23,0.5251888348028263,0.29814693822411814,65.35308333333334,70.20875000000001,4.855666666666668,635.8690860553702,0.03,0.02,0.6198347107438017,0.6520833333333333,0.7,0.6666666666666666,0.75,0.7941176470588235,4.8,4.84,3.13,1.67,3.1242492398541164,0.013267652156520857,0.10729451594270457,1,48.0
1,maximale,nulle,0,18.9,23,0.4171367037214123,0.22290538856431974,37.32908333333334,31.32925,-5.999833333333332,439.92056016014703,0.0,0.0,0.4610526315789474,0.4782608695652174,nan,nan,nan,nan,3.45,4.75,1.65,1.8,1.6113742603296466,0.00765482295949273,0.10647299546749099,1,47.87
2,maximale,nulle,0,18.9,23,0.3481212293207059,0.14287940566969817,125.75325,86.90741666666666,-38.84583333333334,382.700440895147,0.11,0.03,0.5552805280528053,0.5721716514954487,0.6444444444444445,0.6470588235294118,0.5752688172043011,0.5603864734299517,7.69,12.12,4.4,3.29,3.518835096450747,0.012025135969393908,0.13432352258549593,1,47.2
3,maximale,nulle,0,18.9,23,0.3368205664060572,0.102498813064232,69.16491666666667,122.03391666666668,52.869,767.9543430430824,0.0,0.07,0.5097783572359843,0.6001974333662389,0.6122448979591837,0.647887323943662,nan,nan,10.13,7.67,6.08,4.05,4.229707543087531,0.019524107429193593,0.20344458453165212,1,46.88
4,maximale,nulle,0,18.9,23,0.3394085805109388,0.08220259139431503,78.23675,84.89208333333335,6.655333333333334,1211.9673844424078,0.01,0.04,0.4644808743169399,0.5088449531737773,0.578125,0.6219512195121951,0.6458333333333334,0.782608695652174,9.61,10.98,4.89,4.72,3.276692243250009,0.015864719158627975,0.19858330656975837,1,46.42
5,maximale,nulle,0,18.9,23,0.3224003120447282,0.09433919603141333,109.48991666666667,163.84241666666665,54.35249999999999,806.5916579214597,0.04,0.1,0.5019098548510313,0.6069066862601029,0.6705202312138728,0.7535545023696683,0.6557377049180327,0.6666666666666666,13.61,13.09,8.26,5.35,6.317369853020681,0.027502999843527564,0.2724302465896016,1,47.04
6,maximale,nulle,0,18.9,23,0.3759367837155975,0.05362106046835127,93.92341666666667,119.89674999999997,25.97333333333334,810.5133203224567,0.03,0.07,0.46656649135987976,0.5492010092514719,0.5357142857142857,0.5723684210526315,0.575,0.6185567010309279,11.89,13.31,6.53,5.36,4.763931806190914,0.019604419359625473,0.18925820020381232,1,46.76
7,maximale,nulle,0,18.9,23,0.3715051410887682,0.09440153148277698,139.40166666666667,165.82225000000003,26.420583333333333,1001.780852773242,0.05,0.1,0.522609819121447,0.6089181286549707,0.6118421052631579,0.6781609195402298,0.6515151515151515,0.6666666666666666,13.68,15.48,8.33,5.35,5.076940999019498,0.023080862722236327,0.2868677048705136,1,47.36
8,maximale,nulle,0,18.9,23,0.37103538744105813,0.08684383029744594,134.28308333333334,144.51208333333332,10.229000000000003,607.1348799586366,0.07,0.05,0.49271986022131625,0.5803981623277182,0.5851063829787234,0.6534653465346535,0.5573770491803278,0.4842105263157895,13.06,17.17,7.58,5.48,5.279397076477328,0.022978265852071945,0.17706858546276802,1,46.55
9,maximale,nulle,0,18.9,23,0.3687592447151556,0.08169742486042578,189.29899999999998,255.54316666666665,66.24416666666667,1285.0,0.1,0.17,0.5004215851602024,0.5991884580703336,0.5994152046783626,0.6533018867924528,0.5287769784172662,0.4972375690607735,22.18,23.72,13.29,8.89,8.421292387705106,0.03677709255438234,0.30383315381348963,1,47.87
10,maximale,nulle,0,18.9,23,0.34558404440005,0.08515738888381941,169.12925000000004,211.92,42.79075000000001,909.65244410247,0.06,0.11,0.5111996017919362,0.6195462478184991,0.6477272727272727,0.7397260273972602,0.6,0.5989847715736041,17.19,20.09,10.65,6.54,4.879484707512311,0.029760062169342513,0.2294194131507821,1,46.96
11,maximale,nulle,0,18.9,23,0.34955215392715483,0.07324301898960642,134.77841666666666,137.41391666666664,2.6355000000000057,1128.7022449847173,0.04,0.05,0.48117839607201307,0.5462304409672831,0.6239316239316239,0.7153284671532847,0.4696969696969697,0.49056603773584906,14.06,18.33,7.68,6.38,3.4508788786072078,0.020738934605315788,0.27956494408185106,1,47.26
12,maximale,nulle,0,18.9,23,0.35549013409652674,0.07756671123312327,201.35841666666667,226.52516666666668,25.16675,1495.5171665188598,0.11,0.12,0.5463719365689572,0.6088560885608856,0.6161616161616161,0.6666666666666666,0.6441441441441441,0.6055776892430279,18.97,20.81,11.55,7.42,4.336789842387509,0.027737645819402138,0.24305105279427275,1,45.01
13,maximale,nulle,0,18.9,23,0.3605513666110539,0.08996708052707376,107.47533333333332,149.02783333333332,41.55249999999999,1092.9220767475736,0.03,0.05,0.4639696586599241,0.5541358439811701,0.6893939393939394,0.5454545454545454,0.576271186440678,0.4473684210526316,14.87,15.82,8.24,6.63,3.413488969395672,0.016607325738175284,0.2694367602045176,1,45.81
14,maximale,nulle,0,18.9,23,0.36510460699844444,0.08338567274614744,183.78924999999998,257.81025,74.021,1881.5973968040967,0.05,0.13,0.5796329188869154,0.6420253164556962,0.6666666666666666,0.723342939481268,0.7184466019417476,0.7279411764705882,19.75,16.89,12.68,7.07,3.8056255002613284,0.027807015905587425,0.1927430578317578,1,45.25
15,maximale,nulle,0,18.9,23,0.33074874216375355,0.07022313668026739,120.22458333333333,154.5618333333333,34.33725,1254.628143282177,0.01,0.04,0.4735605170387779,0.5365558912386706,0.5625,0.5876288659793815,0.7,0.5,16.55,17.02,8.88,7.67,3.3088897767193184,0.023606765851539445,0.2748440726468794,1,44.62
16,maximale,nulle,0,18.9,23,0.30579373196684495,0.07494301806120512,189.83524999999997,226.58475,36.7495,1944.881010781336,0.08,0.14,0.5260441107461286,0.6074228959749085,0.622093023255814,0.6693121693121693,0.5755813953488372,0.5476190476190477,19.13,21.31,11.62,7.51,3.829877494203067,0.028210533908583982,0.1899684592012346,1,44.82
17,maximale,nulle,0,18.9,23,0.3052080000096208,0.07275929876656627,139.13616666666664,216.82066666666665,77.6845,1713.7331174066535,0.01,0.13,0.48623853211009177,0.5671285236502628,0.6083743842364532,0.6203966005665722,0.625,0.47058823529411764,20.93,18.53,11.87,9.06,4.075101039868584,0.021967243054971188,0.2671242635179219,1,46.25
18,maximale,nulle,0,18.9,23,0.2980929291430505,0.07614357210034031,265.0685833333333,280.562,15.493416666666667,1561.1152766709288,0.16,0.17,0.5596365013252556,0.621550591327201,0.6426426426426426,0.7435897435897436,0.6271676300578035,0.6030368763557483,22.83,26.41,14.19,8.64,3.265085449526954,0.03196480110989568,0.2655916148464834,1,44.62
19,maximale,nulle,0,18.9,23,0.28537593308279097,0.07911472073250755,125.10691666666666,166.24991666666668,41.143,1163.4170676771148,0.02,0.11,0.45703933747412007,0.5258620689655172,0.5956521739130435,0.6,0.6382978723404256,0.5714285714285714,18.56,19.32,9.76,8.8,2.8453158662821063,0.02300648253589978,0.3154296441178176,1,44.99
20,maximale,nulle,0,18.9,23,0.3032949008334398,0.1147650581786825,251.96925,283.1683333333334,31.199083333333327,1474.268320785822,0.17,0.17,0.5366300366300366,0.6151553852703278,0.6317460317460317,0.7142857142857143,0.6119402985074627,0.5844155844155844,23.49,27.3,14.45,9.04,3.5360493624551386,0.03453024745529268,0.24533227388247092,1,44.83
21,maximale,nulle,0,18.9,23,0.30061791438160357,0.08287045026070636,136.44899999999998,202.82166666666663,66.37266666666667,1694.1275511448716,0.04,0.08,0.4797872340425532,0.56071964017991,0.5687203791469194,0.6613545816733067,0.5268817204301075,0.5128205128205128,20.01,18.8,11.22,8.79,2.9344507902366264,0.02326675754669088,0.2722269099407403,1,44.59
