generation,t_env,v_vie,n_inversions_vie,lambda_cout,graine,eta_moyen,eta_ecart_type,p_naif_moyen,p_libre_moyen,delta_p_moyen,fitness_max,survie_naif,survie_libre,discrimination_naif,discrimination_libre,discrim_tiers1_libre,discrim_tiers3_libre,discrim_tiers1_naif,discrim_tiers3_naif,repas_moyen_libre,repas_moyen_naif,nutritifs_moyen_libre,toxiques_moyen_libre,cout_apprentissage_moyen,derive_acquise_moyenne,derive_preference_moyenne,n_especes,complexite_moyenne
0,maximale,nulle,0,9.4,22,0.44860824095615903,0.2925370630849654,42.751083333333334,53.37875,10.627666666666666,372.8592257078736,0.01,0.04,0.531328320802005,0.6216931216931217,0.6944444444444444,0.7142857142857143,0.7,0.8571428571428571,3.78,3.99,2.35,1.43,1.6593822339402513,0.0068113144329997825,0.09719827725530893,1,48.0
1,maximale,nulle,0,9.4,22,0.4483066772384388,0.19966188571316648,27.00541666666667,42.22208333333333,15.21666666666667,530.6164295525091,0.01,0.01,0.4228855721393035,0.5116279069767442,0.6470588235294118,0.42857142857142855,0.6190476190476191,0.8636363636363636,4.3,4.02,2.2,2.1,2.175079863696543,0.009117625486796937,0.13803170077844398,1,47.84
2,maximale,nulle,0,9.4,22,0.45821396043989077,0.1533503620011831,56.10425,84.23291666666665,28.12866666666666,531.3339971060443,0.01,0.04,0.5318761384335154,0.6106870229007634,0.7560975609756098,0.6341463414634146,0.55,0.4666666666666667,6.55,5.49,4.0,2.55,4.739459888342314,0.022610249637109496,0.14416913692232658,1,47.89
3,maximale,nulle,0,9.4,22,0.4650560280303817,0.12947012163869018,75.92141666666667,49.374416666666654,-26.546999999999997,388.8071063748862,0.05,0.03,0.5016987542468856,0.5095057034220533,0.7857142857142857,0.36363636363636365,0.5673076923076923,0.6608695652173913,5.26,8.83,2.68,2.58,3.5404379199480105,0.01699680815293979,0.16051661931490344,1,47.6
4,maximale,nulle,0,9.4,22,0.4732020165062298,0.12367377097510579,92.11733333333333,100.073,7.9556666666666676,593.3890317188539,0.03,0.06,0.531055900621118,0.5985489721886336,0.6666666666666666,0.6835443037974683,0.6551724137931034,0.675,8.27,9.66,4.95,3.32,5.481885799859672,0.026867409734536333,0.17977714016742513,1,46.76
5,maximale,nulle,0,9.4,22,0.4750834227872819,0.10457741658269354,105.15508333333335,107.62916666666666,2.474083333333338,1135.7012632498115,0.01,0.02,0.5495668912415784,0.6104046242774567,0.76,0.8,0.5,0.6666666666666666,8.65,10.39,5.28,3.37,5.758030993856688,0.029728293922003234,0.23579300869755226,1,46.69
6,maximale,nulle,0,9.4,22,0.4684322029241692,0.09026527267432824,82.84133333333334,124.28300000000002,41.44166666666666,760.3714749708206,0.03,0.03,0.5356294536817102,0.6229338842975206,0.717948717948718,0.7837837837837838,0.7083333333333334,0.75,9.68,8.42,6.03,3.65,6.042665075516352,0.0319683603676239,0.2009572740709235,1,46.58
7,maximale,nulle,0,9.4,22,0.5035094418287653,0.07094439384928183,113.81341666666664,119.93524999999998,6.121833333333331,1291.3264144093,0.06,0.04,0.5232744783306581,0.6067073170731707,0.7846153846153846,0.7272727272727273,0.6,0.6375,9.84,12.46,5.97,3.87,6.388215904918797,0.04444966420305746,0.2690353487827777,1,46.81
8,maximale,nulle,0,9.4,22,0.5065809397940774,0.07541087166278033,80.80533333333334,131.0799166666667,50.27458333333333,1103.4937194037766,0.03,0.06,0.48720472440944884,0.5894736842105263,0.5642857142857143,0.647887323943662,0.6190476190476191,0.4852941176470588,11.4,10.16,6.72,4.68,7.342868402917614,0.027855580961133334,0.16430649769785066,1,46.22
9,maximale,nulle,0,9.4,22,0.49261482262786077,0.07093655779302527,81.29625,150.41475,69.1185,729.1566982658322,0.02,0.09,0.47435897435897434,0.6094003241491086,0.5891472868217055,0.7586206896551724,0.7142857142857143,0.6857142857142857,12.34,10.92,7.52,4.82,6.746197440008624,0.03379984234867077,0.232174384851488,1,46.16
