generation,t_env,v_vie,n_inversions_vie,lambda_cout,graine,eta_moyen,eta_ecart_type,p_naif_moyen,p_libre_moyen,delta_p_moyen,fitness_max,survie_naif,survie_libre,discrimination_naif,discrimination_libre,discrim_tiers1_libre,discrim_tiers3_libre,discrim_tiers1_naif,discrim_tiers3_naif,repas_moyen_libre,repas_moyen_naif,nutritifs_moyen_libre,toxiques_moyen_libre,cout_apprentissage_moyen,derive_acquise_moyenne,derive_preference_moyenne,n_especes,complexite_moyenne
0,maximale,nulle,0,18.9,21,0.471066546219569,0.29351255051236996,40.89966666666667,42.141416666666686,1.2417499999999995,315.4497780208031,0.02,0.03,0.5777777777777777,0.6066666666666667,0.6538461538461539,0.6129032258064516,0.7777777777777778,0.8461538461538461,3.0,3.15,1.82,1.18,1.157558325494025,0.0052118395692660625,0.07959479571338535,1,48.0
1,maximale,nulle,0,18.9,21,0.3315446138160986,0.16432834713421735,41.594833333333334,60.801500000000004,19.206666666666663,275.44399651650144,0.01,0.0,0.4778225806451613,0.5787401574803149,nan,nan,0.9090909090909091,1.0,5.08,4.96,2.94,2.14,2.5595393547366325,0.01114671565212123,0.12318564610326861,1,47.71
2,maximale,nulle,0,18.9,21,0.25605494628197845,0.12431135707057156,55.52008333333333,81.8905,26.37041666666667,606.8248484818025,0.01,0.02,0.47919655667144906,0.543424317617866,0.5294117647058824,0.7586206896551724,0.5714285714285714,0.5555555555555556,8.06,6.97,4.38,3.68,2.6050448749352624,0.007993876132088084,0.12978035508174016,1,47.69
3,maximale,nulle,0,18.9,21,0.2672611433053867,0.11449496084367453,103.45033333333335,108.67966666666668,5.22933333333333,757.3241314280424,0.05,0.05,0.49227202472952086,0.5428832116788321,0.6060606060606061,0.6363636363636364,0.44,0.48214285714285715,10.96,12.94,5.95,5.01,3.542119413277808,0.01237748486168763,0.16965315644793807,1,47.48
4,maximale,nulle,0,18.9,21,0.2505393689926885,0.08213202675016956,123.76508333333331,137.13708333333332,13.371999999999993,1047.1170998131645,0.09,0.05,0.5183850036049027,0.5856079404466501,0.5789473684210527,0.8067226890756303,0.5933333333333334,0.5752688172043011,12.09,13.87,7.08,5.01,3.2515993600518205,0.013571786197405513,0.22386871774859882,1,47.38
5,maximale,nulle,0,18.9,21,0.21656308245254746,0.0734899040742374,97.33033333333333,115.24408333333335,17.91375,584.9727899693069,0.04,0.08,0.49018003273322425,0.5360738255033557,0.5878378378378378,0.6082474226804123,0.5396825396825397,0.46,11.92,12.22,6.39,5.53,3.0173664009471057,0.010674418858717519,0.14200384699894011,1,47.28
6,maximale,nulle,0,18.9,21,0.21793469659393946,0.062070157219117295,129.92933333333332,154.59400000000002,24.664666666666673,1156.091034235717,0.03,0.08,0.5172647257955315,0.5681973954763536,0.6868131868131868,0.6744186046511628,0.5813953488372093,0.43137254901960786,14.59,14.77,8.29,6.3,3.54089809196806,0.016549845357198046,0.238899432240098,1,47.8
7,maximale,nulle,0,18.9,21,0.2150872273207736,0.053116330306947436,129.32533333333333,182.05975,52.73441666666667,695.7004966983884,0.08,0.15,0.4850439882697947,0.5640732265446224,0.5390946502057613,0.6468401486988847,0.6015625,0.5562913907284768,17.48,17.05,9.86,7.62,4.087072960078699,0.015960439072113936,0.22013938891468818,1,47.55
8,maximale,nulle,0,18.9,21,0.22645137136816373,0.06160664173141092,162.64058333333335,193.34591666666668,30.705333333333332,1037.9321985296144,0.08,0.13,0.5214557305812059,0.5907494145199064,0.55,0.6205673758865248,0.6058823529411764,0.5628415300546448,17.08,18.41,10.09,6.99,4.109024941357557,0.0154846686040803,0.17811726735070954,1,46.45
9,maximale,nulle,0,18.9,21,0.20963060361143981,0.0670777322932381,146.06616666666667,171.64533333333335,25.579166666666666,1160.1141068801262,0.07,0.1,0.46801505174035746,0.5487179487179488,0.6029411764705882,0.5990338164251208,0.5093167701863354,0.49166666666666664,17.55,21.26,9.63,7.92,3.7389315320071224,0.01735246269043639,0.24119724640581663,1,44.52
10,maximale,nulle,0,18.9,21,0.2027432329257098,0.06192949151212856,172.19150000000002,180.30016666666666,8.108666666666663,1579.1541951874146,0.09,0.1,0.4963436928702011,0.5581134194272881,0.5714285714285714,0.6577777777777778,0.5583756345177665,0.5244755244755245,17.81,21.88,9.94,7.87,3.3305095528784068,0.01531577009158712,0.2145218499899857,1,44.6
