generation,t_env,v_vie,n_inversions_vie,lambda_cout,graine,eta_moyen,eta_ecart_type,p_naif_moyen,p_libre_moyen,delta_p_moyen,fitness_max,survie_naif,survie_libre,discrimination_naif,discrimination_libre,discrim_tiers1_libre,discrim_tiers3_libre,discrim_tiers1_naif,discrim_tiers3_naif,repas_moyen_libre,repas_moyen_naif,nutritifs_moyen_libre,toxiques_moyen_libre,cout_apprentissage_moyen,derive_acquise_moyenne,derive_preference_moyenne,n_especes,complexite_moyenne
0,maximale,nulle,0,0.0,21,0.47441471264841595,0.29865162418173574,43.54983333333334,50.325916666666664,6.776083333333333,1037.8833333333334,0.01,0.0,0.5208333333333334,0.6102150537634409,nan,nan,0.6666666666666666,0.8,3.72,4.32,2.27,1.45,2.2159235516448375,0.011091655164838366,0.10049578951255554,1,48.0
1,maximale,nulle,0,0.0,21,0.4975773402798631,0.2204861632319569,54.33333333333334,47.80533333333333,-6.5280000000000005,715.0,0.01,0.03,0.458994708994709,0.5291576673866091,0.6571428571428571,0.7435897435897436,0.46875,0.56,4.63,7.56,2.45,2.18,2.5345730670168742,0.010203175678371748,0.2050430990570347,1,47.98
2,maximale,nulle,0,0.0,21,0.5076756293069818,0.14091693075998213,115.77266666666667,144.5565,28.783833333333334,1081.6916666666666,0.05,0.1,0.5429787234042553,0.6298642533936651,0.6759259259259259,0.6865671641791045,0.7052631578947368,0.6617647058823529,11.05,11.75,6.96,4.09,6.929175380860487,0.03185504152798706,0.23563231084255257,1,48.04
3,maximale,nulle,0,0.0,21,0.5243006877465699,0.11556427024964486,94.35491666666667,111.43291666666669,17.077999999999996,1760.0,0.02,0.04,0.5067996373526745,0.581039755351682,0.6,0.7010309278350515,0.7692307692307693,0.7608695652173914,9.81,11.03,5.7,4.11,7.660793291462056,0.027305019692822986,0.2732132113923275,1,47.41
4,maximale,nulle,0,0.0,21,0.5424938001514367,0.09340914003611268,106.808,160.06716666666668,53.25916666666667,855.0,0.04,0.12,0.49364248317127896,0.6097934200459066,0.6318681318681318,0.6875,0.56,0.5092592592592593,13.07,13.37,7.97,5.1,9.010635872044862,0.030009488837961597,0.22827287480974412,1,47.09
5,maximale,nulle,0,0.0,21,0.5050071470416558,0.08074349273437156,180.16724999999994,201.53216666666663,21.36491666666667,1626.3416666666667,0.1,0.1,0.5321100917431193,0.6373626373626373,0.6038961038961039,0.7263681592039801,0.5458937198067633,0.5735735735735735,15.47,19.62,9.86,5.61,12.724596042286178,0.05720486609834127,0.3512112471309821,1,46.73
6,maximale,nulle,0,0.0,21,0.5275760007086876,0.07006949241537651,168.40016666666668,189.89808333333326,21.49791666666666,1335.0,0.14,0.11,0.5259497057249867,0.5914817036592681,0.6078431372549019,0.5853658536585366,0.5896414342629482,0.5597269624573379,16.67,18.69,9.86,6.81,11.044134787986376,0.04410813296947572,0.3264617413388096,1,46.88
7,maximale,nulle,0,0.0,21,0.5482655979653996,0.08833465155474331,190.4608333333333,261.94233333333335,71.4815,1905.0,0.11,0.17,0.48944643568299484,0.611592879963487,0.6253968253968254,0.7404063205417607,0.5737704918032787,0.5255255255255256,21.91,25.11,13.4,8.51,17.09048858515778,0.07674911783279345,0.4468400673784372,1,46.44
8,maximale,nulle,0,0.0,21,0.5655639256039503,0.10364647875303379,210.68175000000002,247.59775000000002,36.91600000000001,1405.0,0.14,0.14,0.5166666666666667,0.6145578895945286,0.6190476190476191,0.7190635451505016,0.5830258302583026,0.517948717948718,20.47,24.6,12.58,7.89,16.59855861703734,0.08818764286745133,0.36211017574219156,1,46.74
9,maximale,nulle,0,0.0,21,0.5832979416382854,0.09525568002950642,209.77675000000002,255.74858333333333,45.971833333333336,1495.0,0.16,0.21,0.5003805175038052,0.5905304690925033,0.6478149100257069,0.6631853785900783,0.6105610561056105,0.518796992481203,22.81,26.28,13.47,9.34,17.716612136608138,0.07442457059035112,0.49728340932023196,1,46.41
