generation,t_env,v_vie,n_inversions_vie,lambda_cout,graine,eta_moyen,eta_ecart_type,p_naif_moyen,p_libre_moyen,delta_p_moyen,fitness_max,survie_naif,survie_libre,discrimination_naif,discrimination_libre,discrim_tiers1_libre,discrim_tiers3_libre,discrim_tiers1_naif,discrim_tiers3_naif,repas_moyen_libre,repas_moyen_naif,nutritifs_moyen_libre,toxiques_moyen_libre,cout_apprentissage_moyen,derive_acquise_moyenne,derive_preference_moyenne,n_especes,complexite_moyenne
0,faible,nulle,0,0.0,23,0.4407297023830602,0.25319966246000236,61.892333333333326,48.848416666666665,-13.043916666666666,758.7833333333333,0.03,0.0,0.5247208931419458,0.5675675675675675,0.625,0.6666666666666666,0.5294117647058824,0.5652173913043478,4.07,6.27,2.31,1.76,1.5006951495816208,0.005699885861684196,0.12341598517372608,1,48.0
1,faible,nulle,0,0.0,23,0.43395721160529344,0.1629998827289246,97.42725,82.12583333333332,-15.301416666666668,1169.4,0.04,0.0,0.5803782505910166,0.601526717557252,nan,nan,0.7692307692307693,0.8666666666666667,6.55,8.46,3.94,2.61,3.005004067416698,0.014199675718253833,0.19913784916877103,1,47.89
2,faible,nulle,0,0.0,23,0.4613681980195781,0.1322800363532099,146.53825,178.47425000000004,31.936000000000003,1660.0,0.09,0.1,0.5661337209302325,0.6637589214908802,0.7191780821917808,0.7430167597765364,0.6631016042780749,0.5657894736842105,12.61,13.76,8.37,4.24,7.051982523953286,0.03146278002526952,0.25111099406890813,1,47.81
3,faible,nulle,0,0.0,23,0.4114838607737432,0.08474139011929205,219.9906666666667,233.79100000000003,13.800333333333331,1529.675,0.17,0.14,0.5775691699604744,0.6445578231292517,0.640625,0.7016393442622951,0.6447876447876448,0.6553846153846153,17.64,20.24,11.37,6.27,10.223806920694448,0.04521976334112207,0.3043660215631081,1,46.98
4,faible,nulle,0,0.0,23,0.38909769398705735,0.0849815419592023,226.78799999999998,245.8271666666667,19.039166666666667,1565.0,0.16,0.19,0.5899602385685885,0.6490463215258856,0.6095238095238096,0.74,0.6156462585034014,0.5919003115264797,18.35,20.12,11.91,6.44,10.469870182461634,0.045397417195964705,0.32793618853280326,1,46.71
5,faible,nulle,0,0.0,23,0.35375068318906927,0.07734799109237846,265.26125,323.7741666666667,58.51291666666667,1470.0,0.19,0.23,0.5913522679101314,0.6697009102730819,0.6697892271662763,0.7407407407407407,0.6099071207430341,0.6308411214953271,23.07,23.59,15.45,7.62,11.165413182611212,0.05191366861482144,0.35515996484225937,1,46.62
6,faible,nulle,0,0.0,23,0.3526548352574173,0.07054456151315269,313.5668333333333,340.8906666666667,27.323833333333337,1440.0,0.25,0.23,0.6192517537022604,0.6689909762100082,0.6383495145631068,0.7298969072164948,0.624113475177305,0.6441605839416058,24.38,25.66,16.31,8.07,10.962231518871086,0.05835285447446821,0.38498353867003504,1,45.96
7,faible,nulle,0,0.0,23,0.34982242801188307,0.08605908294460499,312.8031666666667,371.0205833333333,58.21741666666668,1440.0,0.23,0.25,0.6181041181041181,0.6845401174168297,0.6859688195991092,0.7813084112149533,0.6410835214446953,0.648881239242685,25.55,25.74,17.49,8.06,11.754411960504164,0.062281695553451415,0.44905005222533506,1,46.74
8,faible,nulle,0,0.0,23,0.3608788770905872,0.08019646199788609,320.0126666666667,368.4512499999999,48.438583333333334,1265.0,0.26,0.3,0.62734375,0.69457928802589,0.6666666666666666,0.7285714285714285,0.6598984771573604,0.6702508960573477,24.72,25.6,17.17,7.55,10.442248143712757,0.060353763645582516,0.4160921232902462,1,47.57
9,faible,nulle,0,0.0,23,0.3536479909949197,0.07969197317123235,328.0793333333333,356.05375,27.974416666666666,1855.0,0.27,0.23,0.6198808637379002,0.6966009232060428,0.6651053864168618,0.7753036437246964,0.6123348017621145,0.6296296296296297,23.83,26.86,16.6,7.23,9.971409806667381,0.06419100172464672,0.4212948308077584,1,47.8
10,faible,nulle,0,0.0,23,0.3411522645514479,0.07596561087148829,339.6600833333334,389.87,50.20991666666665,1559.55,0.26,0.29,0.6123595505617978,0.6685714285714286,0.6055846422338569,0.7280265339966833,0.6686991869918699,0.6677265500794912,28.0,28.48,18.72,9.28,11.70281248366689,0.06705258421624012,0.47151773012341947,1,47.97
11,faible,nulle,0,0.0,23,0.34667857729819795,0.08763666724472606,330.8586666666667,383.5938333333333,52.735166666666665,1537.575,0.29,0.3,0.5875083500334002,0.6666666666666666,0.6432637571157496,0.6993243243243243,0.6327800829875518,0.6160583941605839,27.66,29.94,18.44,9.22,10.071839173175393,0.059696671532469193,0.4760283966455864,1,48.43
12,faible,nulle,0,0.0,23,0.31755789398923967,0.07057785387291014,312.44783333333334,353.50475000000006,41.05691666666667,1520.0,0.2,0.22,0.5915593705293276,0.6733067729083665,0.6265664160401002,0.7279843444227005,0.6340694006309149,0.6493775933609959,25.1,27.96,16.9,8.2,8.076536605941975,0.05674087256148095,0.41681831424387183,1,48.79
13,faible,nulle,0,0.0,23,0.31495517286199737,0.0806228068089557,314.2185,377.75841666666673,63.539916666666656,1785.0,0.23,0.29,0.609104589917231,0.6593446164926179,0.668488160291439,0.7341137123745819,0.6585956416464891,0.6952789699570815,27.77,26.58,18.31,9.46,8.546067824827693,0.05605285480624027,0.4501143236068804,1,48.74
14,faible,nulle,0,0.0,23,0.34823771640259343,0.07875314762688042,362.4340833333333,413.5776666666667,51.143583333333325,1510.0,0.28,0.36,0.6323119777158774,0.6799445791479044,0.6644295302013423,0.7594752186588921,0.6354166666666666,0.6442953020134228,28.87,28.72,19.63,9.24,9.587975503105863,0.07137102652525018,0.47510790084775756,1,49.36
15,faible,nulle,0,0.0,23,0.35298811458465346,0.07369352585952367,403.423,431.21358333333325,27.790583333333338,1415.0,0.41,0.36,0.6346456692913386,0.6975372875476934,0.6430921052631579,0.7784256559766763,0.6545454545454545,0.6505190311418685,28.83,31.75,20.11,8.72,8.734018804176014,0.07543817952195699,0.4878302541645414,1,48.7
16,faible,nulle,0,0.0,23,0.339387111883474,0.08173244011666993,416.94250000000005,429.10716666666667,12.164666666666658,1410.0,0.35,0.33,0.6502384737678856,0.6994058021670745,0.6793103448275862,0.7679882525697503,0.6545454545454545,0.6750313676286073,28.61,31.45,20.01,8.6,7.860057697407253,0.06984375958880464,0.45885637293761783,1,48.94
17,faible,nulle,0,0.0,23,0.31870458256122497,0.07837839486493803,393.69450000000006,419.8503333333334,26.155833333333334,1355.0,0.32,0.32,0.6580667354661163,0.7249620637329287,0.6915520628683693,0.7724458204334366,0.6473429951690821,0.6854521625163827,26.36,29.07,19.11,7.25,6.465782786036384,0.06499650390998334,0.39019831317021747,1,48.64
18,faible,nulle,0,0.0,23,0.3137434252875186,0.0827348643456201,390.4296666666667,403.13075000000003,12.701083333333337,1740.0,0.31,0.26,0.6718188353702372,0.7277424483306836,0.7041284403669725,0.8073701842546064,0.6923076923076923,0.7087827426810478,25.16,27.82,18.31,6.85,5.799901882917464,0.06551446782607803,0.379906401643504,1,50.2
19,faible,nulle,0,0.0,23,0.3201394565809465,0.05944144238949304,384.5347499999999,409.3913333333333,24.856583333333344,1610.0,0.29,0.32,0.6761552680221812,0.7232142857142857,0.6777583187390543,0.7698961937716263,0.7117903930131004,0.7138157894736842,25.76,27.05,18.63,7.13,5.745034525192616,0.06104690819166974,0.3998648900462491,1,50.99
20,faible,nulle,0,0.0,23,0.31929230977675616,0.0866119221282362,361.5699166666666,444.78758333333326,83.21766666666666,1505.0,0.26,0.35,0.653817642698295,0.7434750186428039,0.6752827140549273,0.7719821162444114,0.6580310880829016,0.7053941908713693,26.82,26.98,19.94,6.88,5.839621651500771,0.06388952661684716,0.3566485741737324,1,50.83
21,faible,nulle,0,0.0,23,0.3275590454282391,0.09990729057052458,401.1566666666668,450.3854166666666,49.22875,1415.0,0.28,0.4,0.676314860571832,0.7295462665237585,0.7018121911037891,0.7839416058394161,0.723404255319149,0.7102102102102102,27.99,28.33,20.42,7.57,5.945154295318767,0.06919597311693085,0.4240541924472002,1,51.51
22,faible,nulle,0,0.0,23,0.3320257132850569,0.07686903507428205,404.8726666666667,422.08508333333333,17.21241666666667,1820.0,0.29,0.31,0.6705720192970366,0.7179962894248608,0.6779359430604982,0.7948328267477204,0.687007874015748,0.7220496894409938,26.95,29.02,19.35,7.6,6.105650620582534,0.07283355701044125,0.38922032151242425,1,51.27
23,faible,nulle,0,0.0,23,0.34321700169347785,0.08583419050811097,413.46691666666675,439.7923333333333,26.325416666666662,1910.0,0.29,0.35,0.6748549982940976,0.7224622030237581,0.7386138613861386,0.7613981762917933,0.7049808429118773,0.6880984952120383,27.78,29.31,20.07,7.71,6.138431106615831,0.079321103797881,0.43479901122820835,1,50.99
24,faible,nulle,0,0.0,23,0.3802306518745904,0.07206254572001368,433.91908333333333,450.492,16.57291666666666,1580.0,0.38,0.36,0.6591619762351469,0.7184128089105465,0.712707182320442,0.7776203966005666,0.6439628482972136,0.6857825567502986,28.73,31.98,20.64,8.09,7.092858065895368,0.09821134404789823,0.4754829392317202,1,49.66
25,faible,nulle,0,0.0,23,0.4063355880094206,0.07705639342478521,398.4751666666667,433.11600000000004,34.640833333333326,1490.0,0.25,0.28,0.6706377014716188,0.7425629290617849,0.7148080438756855,0.8023255813953488,0.7048832271762208,0.6964560862865947,26.22,28.54,19.47,6.75,6.906324684681035,0.1165124851006538,0.4633723130649314,1,49.15
26,faible,nulle,0,0.0,23,0.41222253763286554,0.06718700573854314,432.9174166666666,458.27099999999996,25.353583333333322,1379.7416666666666,0.35,0.37,0.6622474747474747,0.7459046232253367,0.6920353982300885,0.8012232415902141,0.6666666666666666,0.708066581306018,27.47,31.68,20.49,6.98,6.423528295970153,0.11873314354945068,0.5075705638624411,1,47.76
27,faible,nulle,0,0.0,23,0.4120900293299753,0.056297850100091994,420.14566666666667,444.2968333333333,24.151166666666658,1655.0,0.31,0.33,0.674496644295302,0.7535238095238095,0.7282051282051282,0.8178694158075601,0.6872586872586872,0.6887052341597796,26.25,29.8,19.78,6.47,5.5383752733050695,0.09906003102307259,0.4077423100003655,1,47.98
28,faible,nulle,0,0.0,23,0.42494276826723093,0.0696551967858821,426.1211666666667,464.1175833333333,37.99641666666667,1585.0,0.33,0.35,0.6757384666445403,0.7473002159827213,0.6782752902155887,0.814866760168303,0.6626506024096386,0.6847090663058186,27.78,30.13,20.76,7.02,5.739541176164624,0.10369995098632129,0.38770960389330544,1,46.71
29,faible,nulle,0,0.0,23,0.42173585544109554,0.07519755739605542,432.0930833333334,450.11233333333337,18.01925000000001,1365.0,0.35,0.33,0.6606861819326408,0.7346570397111913,0.6916802610114192,0.7800312012480499,0.6435185185185185,0.6789536266349584,27.7,31.77,20.35,7.35,5.582331706926339,0.09958115678673808,0.3538556969032385,1,45.74
30,faible,nulle,0,0.0,23,0.4072026355681694,0.08494671790234204,446.85825,475.4366666666667,28.578416666666666,1293.1833333333334,0.38,0.43,0.6811175337186898,0.7398683754762729,0.6915887850467289,0.7725988700564972,0.6571879936808847,0.7119078104993598,28.87,31.14,21.36,7.51,5.705497070573305,0.11315095523454267,0.43061094282600665,1,45.35
31,faible,nulle,0,0.0,23,0.38184527064366813,0.07931414196496155,430.37383333333327,455.62916666666655,25.25533333333333,1583.3583333333333,0.35,0.35,0.6764318630678078,0.7363896848137536,0.7164179104477612,0.7843137254901961,0.7081911262798635,0.6991368680641183,27.92,30.38,20.56,7.36,5.67357539155516,0.11409682611853121,0.3624052540599566,2,45.93
32,faible,nulle,0,0.0,23,0.3967510207276704,0.07727154277839796,435.06466666666665,463.7515833333333,28.686916666666665,1375.0,0.35,0.35,0.6720360824742269,0.7345722300140253,0.6888489208633094,0.7996894409937888,0.6741996233521658,0.6967559943582511,28.52,31.04,20.95,7.57,6.3467751538679975,0.13147251524117692,0.42060499438340476,2,44.07
33,faible,nulle,0,0.0,23,0.39935546727646115,0.08912425848565529,432.98924999999997,437.37825000000004,4.388999999999997,1655.0,0.38,0.32,0.6629781852671515,0.7347470238095238,0.6893939393939394,0.7881481481481482,0.6684491978609626,0.6592765460910152,26.88,31.63,19.75,7.13,5.785567003200389,0.10628966445458557,0.4139315523538958,2,44.9
